
BU_CODE,BU_NAAM,WK_CODE,GM_CODE,GM_NAAM,BEV_DICHTH,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,WONINGEN,P_1GEZW,P_MGEZW,P_BEWNDW,P_KOOPWON,P_HUURWON,P_HUURCORP,P_HUUROVVH,P_WONT2000,P_WONV2000,P_LEEGSW,WW_UIT_TOT,AUTO_HH,AV1_ARTSPR,AF_APOTH,AF_ZIEK_I,AV1_SUPERM,AV1_DAGLMD,AV1_CAFE,AF_WARENH,AV1_RESTAU,AF_HOTEL,AV1_KDV,AV1_BSO,AV1_ONDBAS,AF_ONDVRT,AF_ONDVMB,AF_ONDHV,AF_TREINST,AF_BIBLIO,AF_BIOS,AF_ATTRAC,AF_PODIUM,AF_MUSEUM
BU17110526,Gebroek,WK171105,GM1711,Echt-Susteren,1500,230,120,110,10,14,14,39,23,9,1,-99999999,-99999999,-99999999,-99999999,-99999999,89,91,9,94,93,7,0,7,92,8,6,0,1.4,0.0,0.9,1.7,0.0,1.1,0.5,1.5,0.7,0.9,0.5,0.0,0.0,2.5,2.5,2.5,1.0,1.7,1.3,2.3,11.8,1.8
BU17110527,Ophoven,WK171105,GM1711,Echt-Susteren,239,25,15,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,0.0,2.2,2.6,0.0,0.0,0.0,1.8,0.0,2.7,0.0,0.0,0.0,2.9,2.9,2.9,2.7,2.0,2.0,3.8,12.2,2.1
BU17110528,Businesspark Midden-Limburg,WK171105,GM1711,Echt-Susteren,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0
BU17110547,Buitengebied de Berk,WK171105,GM1711,Echt-Susteren,81,15,10,10,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,0.0,1.7,0.6,1.0,0.2,0.2,1.6,0.0,2.3,0.0,0.0,0.0,0.4,0.4,0.4,2.3,1.4,2.0,2.5,12.3,1.3
BU17110548,Buitengebied de Loop,WK171105,GM1711,Echt-Susteren,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0
BU17110549,Buitengebied Gebroek,WK171105,GM1711,Echt-Susteren,6,15,10,10,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,0.0,1.1,1.8,1.5,2.9,1.6,1.2,2.4,1.2,0.6,0.6,0.4,2.2,2.2,2.2,1.4,1.3,1.2,2.6,11.9,1.5
BU17110551,Buitengebied Ophoven,WK171105,GM1711,Echt-Susteren,-99999999,5,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0
BU17110554,Buitengebied Berkelaar,WK171105,GM1711,Echt-Susteren,18,55,30,25,15,19,17,33,15,6,10,-99999999,-99999999,-99999999,-99999999,-99999999,21,100,0,95,95,5,0,5,95,5,5,0,-99999999.0,0.0,2.6,2.1,0.1,0.7,0.7,2.5,0.0,3.1,0.2,0.2,0.2,1.9,1.9,1.9,3.7,2.3,3.4,3.9,12.2,2.2
BU17110555,Buitengebied Aasterberg,WK171105,GM1711,Echt-Susteren,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0,-99999999.0
BU17110628,Diergaarde,WK171106,GM1711,Echt-Susteren,15,390,200,190,14,8,21,33,24,12,1,-99999999,-99999999,-99999999,-99999999,-99999999,171,97,3,89,89,11,0,11,92,8,11,0,1.9,0.0,4.7,8.3,0.0,0.0,0.4,8.6,0.2,3.9,0.1,0.1,0.1,8.3,8.3,8.5,8.1,7.9,8.4,6.1,12.7,7.1
