wk_code,versie,jaar,wk_naam,lbm,afw,fys,onv,soc,vrz,won
WK039421,Leefbaarometer 3.0,2018,Haarlemmerliede,4.327693718926629,0.22542886778294483,0.012463536602378271,0.1133432943121854,0.08625280498003134,-0.045040530649489825,0.05840976253783935
WK039421,Leefbaarometer 3.0,2020,Haarlemmerliede,4.308586941678667,0.2063220905349812,0.005197799013308948,0.10611758548293196,0.07006708810686979,-0.033315015798688424,0.05825463373055881
WK039422,Leefbaarometer 1.0,2002,Halfweg,4.140558587042646,0.03829373589896134,NA,NA,NA,NA,NA
WK039422,Leefbaarometer 1.0,2008,Halfweg,4.069525176442557,-0.032739674701128256,NA,NA,NA,NA,NA
WK039422,Leefbaarometer 2.0,2012,Halfweg,4.086672942933204,-0.01559190821048192,NA,NA,NA,NA,NA
WK039422,Leefbaarometer 3.0,2014,Halfweg,4.099938529050333,-0.0023263220933514277,-0.015024384883686074,-0.0050808723504791745,0.024312877735423788,-0.0019007145735508535,-0.0046332280210593865
WK039422,Leefbaarometer 2.0,2016,Halfweg,4.117917138956883,0.015652287813196997,NA,NA,NA,NA,NA
WK039422,Leefbaarometer 3.0,2018,Halfweg,4.1074139693411995,0.005149118197514792,-0.025508167998011876,0.019428559588437068,0.027463059242480152,-0.019755064262626867,0.0035207316272359876
WK039422,Leefbaarometer 3.0,2020,Halfweg,4.128255731145544,0.025990880001859527,-0.019178916263214052,0.025562509848328394,0.02176906848934439,-0.007847195012332654,0.005685412939733151
WK039601,Leefbaarometer 1.0,2002,Wijk 01 Heemskerk-Dorp,4.032798997260775,-0.06946585388291071,NA,NA,NA,NA,NA
WK039601,Leefbaarometer 1.0,2008,Wijk 01 Heemskerk-Dorp,4.051598925485097,-0.05066592565858819,NA,NA,NA,NA,NA
WK039601,Leefbaarometer 2.0,2012,Wijk 01 Heemskerk-Dorp,4.0586169277972735,-0.043647923346411883,NA,NA,NA,NA,NA
WK039601,Leefbaarometer 3.0,2014,Wijk 01 Heemskerk-Dorp,4.053299629723805,-0.04896522141988097,0.029357571844656382,-0.03901490240365607,-0.023024388282223005,0.001165152848264005,-0.017448655426922643
WK039601,Leefbaarometer 2.0,2016,Wijk 01 Heemskerk-Dorp,4.084819941968036,-0.017444909175649097,NA,NA,NA,NA,NA
WK039601,Leefbaarometer 3.0,2018,Wijk 01 Heemskerk-Dorp,4.08067903421734,-0.021585816926345057,0.013410252975582453,-0.014674222065876095,-0.025958654385066376,0.007446696070172745,-0.0018098895211580898
WK039601,Leefbaarometer 3.0,2020,Wijk 01 Heemskerk-Dorp,4.108566631652915,0.006301780509229429,0.022144789797880884,-0.013246353886412949,-0.027565163946639885,0.029569447250060655,-0.004600938705659611
WK039602,Leefbaarometer 1.0,2002,Wijk 02 Commandeurs en Marquette,4.11212399206535,0.00985914092166583,NA,NA,NA,NA,NA
WK039602,Leefbaarometer 1.0,2008,Wijk 02 Commandeurs en Marquette,4.115433012650992,0.013168161507306472,NA,NA,NA,NA,NA
WK039602,Leefbaarometer 2.0,2012,Wijk 02 Commandeurs en Marquette,4.129645707802897,0.027380856659212555,NA,NA,NA,NA,NA
WK039602,Leefbaarometer 3.0,2014,Wijk 02 Commandeurs en Marquette,4.2128758125882255,0.11061096144454051,0.08079073400797329,0.05469007911973325,0.01059247343436095,-0.045093708071701294,0.009631382954173984
WK039602,Leefbaarometer 2.0,2016,Wijk 02 Commandeurs en Marquette,4.2021781788398,0.09991332769611402,NA,NA,NA,NA,NA
WK039602,Leefbaarometer 3.0,2018,Wijk 02 Commandeurs en Marquette,4.188644121936529,0.0863792707928442,0.06233455766977032,0.04672312235205836,0.009468060943015102,-0.04386650494416328,0.011720034772163464
WK039602,Leefbaarometer 3.0,2020,Wijk 02 Commandeurs en Marquette,4.2011354992984,0.0988706481547146,0.06854534418250455,0.0478486470086794,0.006558511496816634,-0.03636429140364534,0.012282436870359077
WK039603,Leefbaarometer 1.0,2002,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.8977569998367985,-0.2045078513068867,NA,NA,NA,NA,NA
WK039603,Leefbaarometer 1.0,2008,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.892689462500117,-0.20957538864356798,NA,NA,NA,NA,NA
WK039603,Leefbaarometer 2.0,2012,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.9402140190663624,-0.16205083207732277,NA,NA,NA,NA,NA
WK039603,Leefbaarometer 3.0,2014,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.944051520143226,-0.15821333100045915,-0.004105028699171892,-0.048889621092720735,-0.037940636357215736,-0.028731381560859887,-0.03854666329049115
WK039603,Leefbaarometer 2.0,2016,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.9440844019716716,-0.1581804491720138,NA,NA,NA,NA,NA
WK039603,Leefbaarometer 3.0,2018,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.911862125730797,-0.19040272541288822,-0.026532175096668442,-0.053914619436758335,-0.03786482262934592,-0.030695626901888685,-0.04139548134822708
WK039603,Leefbaarometer 3.0,2020,"Wijk 03 Hofland, Oosterwijk en Zuidbroek",3.9222387249772326,-0.18002612616645275,-0.022165867582807555,-0.06613174194359914,-0.03912075657705824,-0.010925239334339676,-0.04168252072864848
WK039604,Leefbaarometer 1.0,2002,Wijk 04 Heemskerkerduin en Noorddorp,4.243920980536991,0.14165612939330655,NA,NA,NA,NA,NA
WK039604,Leefbaarometer 1.0,2008,Wijk 04 Heemskerkerduin en Noorddorp,4.235919238006754,0.13365438686306785,NA,NA,NA,NA,NA
WK039604,Leefbaarometer 2.0,2012,Wijk 04 Heemskerkerduin en Noorddorp,4.257636759757458,0.15537190861377181,NA,NA,NA,NA,NA
WK039604,Leefbaarometer 3.0,2014,Wijk 04 Heemskerkerduin en Noorddorp,4.308693289081212,0.20642843793752724,0.0671302973027759,0.07723209503252955,0.10182730854893798,-0.08369361254868476,0.043932349601968367
WK039604,Leefbaarometer 2.0,2016,Wijk 04 Heemskerkerduin en Noorddorp,4.3078617348911346,0.20559688374744925,NA,NA,NA,NA,NA
WK039604,Leefbaarometer 3.0,2018,Wijk 04 Heemskerkerduin en Noorddorp,4.291891023340427,0.1896261721967422,0.029856612988920558,0.09777123925783053,0.10617665969835097,-0.08610172261163382,0.0419233828632737
WK039604,Leefbaarometer 3.0,2020,Wijk 04 Heemskerkerduin en Noorddorp,4.259159291320197,0.15689444017651158,0.031032366178940545,0.08527263882215153,0.08187595670845717,-0.07881597710473413,0.03752945557169623
WK039605,Leefbaarometer 1.0,2002,Wijk 05 Poelenburg en Oosterzij,3.9573661198272454,-0.14489873131644024,NA,NA,NA,NA,NA
WK039605,Leefbaarometer 1.0,2008,Wijk 05 Poelenburg en Oosterzij,3.9645985408169944,-0.13766631032669052,NA,NA,NA,NA,NA
WK039605,Leefbaarometer 2.0,2012,Wijk 05 Poelenburg en Oosterzij,3.988228259758326,-0.1140365913853593,NA,NA,NA,NA,NA
WK039605,Leefbaarometer 3.0,2014,Wijk 05 Poelenburg en Oosterzij,3.99443425807746,-0.107830593066225,0.017640115352035936,-0.045019204128372375,-0.0503358639270819,-0.016468601101074544,-0.013647039261732446
WK039605,Leefbaarometer 2.0,2016,Wijk 05 Poelenburg en Oosterzij,3.947309766722966,-0.1549550844207193,NA,NA,NA,NA,NA
WK039605,Leefbaarometer 3.0,2018,Wijk 05 Poelenburg en Oosterzij,3.985516827537634,-0.11674802360605133,0.002534331713154967,-0.047511236022344604,-0.046662922437454325,-0.012151735867686062,-0.012956460991721604
WK039605,Leefbaarometer 3.0,2020,Wijk 05 Poelenburg en Oosterzij,3.978402875504198,-0.1238619756394873,0.0069462584848396704,-0.06457101588628283,-0.04689397915851995,-0.004616840666748807,-0.014726398412775637
WK039606,Leefbaarometer 1.0,2002,Wijk 06 Noordbroek en De Trompet,4.037696059369272,-0.06456879177441341,NA,NA,NA,NA,NA
WK039606,Leefbaarometer 1.0,2008,Wijk 06 Noordbroek en De Trompet,4.061597364630388,-0.04066748651329732,NA,NA,NA,NA,NA
WK039606,Leefbaarometer 2.0,2012,Wijk 06 Noordbroek en De Trompet,4.084443673416024,-0.017821177727661425,NA,NA,NA,NA,NA
WK039606,Leefbaarometer 3.0,2014,Wijk 06 Noordbroek en De Trompet,4.090126497150966,-0.0121383539927188,-0.010422034160951929,0.04928275254938118,0.010243122187128653,-0.07083943768844615,0.009597243120169168
WK039606,Leefbaarometer 2.0,2016,Wijk 06 Noordbroek en De Trompet,4.098025770850055,-0.0042390802936302695,NA,NA,NA,NA,NA
WK039606,Leefbaarometer 3.0,2018,Wijk 06 Noordbroek en De Trompet,4.0856820761449,-0.01658277499878458,-0.02493004007705224,0.06620187475895312,0.008091437623305487,-0.07280635836070849,0.0068603110567172524
WK039606,Leefbaarometer 3.0,2020,Wijk 06 Noordbroek en De Trompet,4.119748012340097,0.01748316119641173,0.0066448289923188505,0.0676619388436728,0.004675525602492961,-0.07347022439617922,0.01197109215410601
WK039607,Leefbaarometer 1.0,2002,Wijk 07 Kerkbeek,4.080632459183301,-0.021632391960384238,NA,NA,NA,NA,NA
WK039607,Leefbaarometer 1.0,2008,Wijk 07 Kerkbeek,4.0896582123548475,-0.01260663878883787,NA,NA,NA,NA,NA
WK039607,Leefbaarometer 2.0,2012,Wijk 07 Kerkbeek,4.099266079832474,-0.0029987713112111904,NA,NA,NA,NA,NA
WK039607,Leefbaarometer 3.0,2014,Wijk 07 Kerkbeek,4.090662327813534,-0.011602523330151443,0.03301453536449296,0.010880986559318328,-0.009301342403162683,-0.014301157603832583,-0.03189554524696773
WK039607,Leefbaarometer 2.0,2016,Wijk 07 Kerkbeek,4.123814777378724,0.021549926235038874,NA,NA,NA,NA,NA
WK039607,Leefbaarometer 3.0,2018,Wijk 07 Kerkbeek,4.1176581200670475,0.01539326892336213,0.00993178377930602,0.03262160255995953,-0.008318574761844028,-0.008909948441436435,-0.009931594212623232
WK039607,Leefbaarometer 3.0,2020,Wijk 07 Kerkbeek,4.116783198435044,0.014518347291359184,0.01181965229191584,0.0254042862469695,-0.009539531108249589,0.003370533056715916,-0.016536593195992818
WK039608,Leefbaarometer 1.0,2002,Wijk 08 Assumburg,4.07544958686791,-0.026815264275775103,NA,NA,NA,NA,NA
WK039608,Leefbaarometer 1.0,2008,Wijk 08 Assumburg,4.073325763953677,-0.028939087190008195,NA,NA,NA,NA,NA
WK039608,Leefbaarometer 2.0,2012,Wijk 08 Assumburg,4.0705607606696494,-0.031704090474035246,NA,NA,NA,NA,NA
WK039608,Leefbaarometer 3.0,2014,Wijk 08 Assumburg,4.097563541753657,-0.0047013093900274425,0.013992558018887739,0.013385987288331198,0.0021830780305810422,-0.023273246698172895,-0.01098968602965481
WK039608,Leefbaarometer 2.0,2016,Wijk 08 Assumburg,4.086693307002863,-0.015571544140822466,NA,NA,NA,NA,NA
WK039608,Leefbaarometer 3.0,2018,Wijk 08 Assumburg,4.065309567228678,-0.03695528391500689,-0.00787588758451849,0.009137365405616089,-6.803894011995982e-4,-0.023636888527278906,-0.013899483807626309
WK039608,Leefbaarometer 3.0,2020,Wijk 08 Assumburg,4.100645995453788,-0.0016188556898979062,-0.0026344101534482084,0.015528117928904945,0.006073577614996329,-0.011691144244452409,-0.0088949968358988
WK039609,Leefbaarometer 1.0,2002,Wijk 09 Hoogdorp en Waterakkers,4.072902831091371,-0.029362020052314447,NA,NA,NA,NA,NA
WK039609,Leefbaarometer 1.0,2008,Wijk 09 Hoogdorp en Waterakkers,4.0916406862401,-0.010624164903585026,NA,NA,NA,NA,NA
WK039609,Leefbaarometer 2.0,2012,Wijk 09 Hoogdorp en Waterakkers,4.122780797855679,0.020515946711994176,NA,NA,NA,NA,NA
WK039609,Leefbaarometer 3.0,2014,Wijk 09 Hoogdorp en Waterakkers,4.1654352906992385,0.06317043955555353,0.03532653666295762,0.03465032512214227,0.012224857371795232,-0.029085801858399686,0.010054522257057757
WK039609,Leefbaarometer 2.0,2016,Wijk 09 Hoogdorp en Waterakkers,4.144493673862735,0.04222882271904924,NA,NA,NA,NA,NA
WK039609,Leefbaarometer 3.0,2018,Wijk 09 Hoogdorp en Waterakkers,4.162548117635666,0.060283266491980174,0.016371574277288428,0.05261780287751922,0.011687543239750827,-0.031878270870698264,0.011484616968119704
WK039609,Leefbaarometer 3.0,2020,Wijk 09 Hoogdorp en Waterakkers,4.177141082129993,0.07487623098630802,0.027245159905051847,0.04214979659426704,0.010702044086519306,-0.017237162226501384,0.012016392626970906
WK039610,Leefbaarometer 1.0,2002,Wijk 10 Broekpolder,3.808295165730933,-0.29396968541275237,NA,NA,NA,NA,NA
WK039610,Leefbaarometer 1.0,2008,Wijk 10 Broekpolder,4.023054969878996,-0.07920988126468873,NA,NA,NA,NA,NA
WK039610,Leefbaarometer 2.0,2012,Wijk 10 Broekpolder,4.105049751143757,0.0027849000000719428,NA,NA,NA,NA,NA
WK039610,Leefbaarometer 3.0,2014,Wijk 10 Broekpolder,4.094057542990708,-0.008207308152977712,-0.016579865649809258,0.01595227533186117,0.023629130078888484,-0.04735592734539204,0.016147079431473674
WK039610,Leefbaarometer 2.0,2016,Wijk 10 Broekpolder,4.08299802125531,-0.019266829888374967,NA,NA,NA,NA,NA
WK039610,Leefbaarometer 3.0,2018,Wijk 10 Broekpolder,4.088371879986013,-0.013892971157672062,-0.02438240890204232,0.023684717015148293,0.01853579366151966,-0.04904490284646151,0.017313829914163612
WK039610,Leefbaarometer 3.0,2020,Wijk 10 Broekpolder,4.119745045732054,0.01748019458836833,-0.012971147052852638,0.026373220544534347,0.01395848498512739,-0.03223667413829674,0.022356310249855627
WK039611,Leefbaarometer 1.0,2002,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 1.0,2008,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 2.0,2012,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 3.0,2014,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 2.0,2016,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 3.0,2018,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039611,Leefbaarometer 3.0,2020,Wijk 11 Oostelijk Heemskerk,NA,NA,NA,NA,NA,NA,NA
WK039700,Leefbaarometer 1.0,2002,Wijk 00 Heemstede-Centrum,4.182965741201882,0.08070089005819722,NA,NA,NA,NA,NA
WK039700,Leefbaarometer 1.0,2008,Wijk 00 Heemstede-Centrum,4.200255078576239,0.0979902274325537,NA,NA,NA,NA,NA
WK039700,Leefbaarometer 2.0,2012,Wijk 00 Heemstede-Centrum,4.203267615070737,0.10100276392705154,NA,NA,NA,NA,NA
WK039700,Leefbaarometer 3.0,2014,Wijk 00 Heemstede-Centrum,4.238410496992952,0.1361456458492665,0.02544201370421958,0.043629363398184975,0.011766417999110261,0.03723529480018286,0.018072555947568566
WK039700,Leefbaarometer 2.0,2016,Wijk 00 Heemstede-Centrum,4.2669420626276136,0.1646772114839286,NA,NA,NA,NA,NA
WK039700,Leefbaarometer 3.0,2018,Wijk 00 Heemstede-Centrum,4.256583978672304,0.15431912752861904,0.010146444375843883,0.07031671034790488,0.01299424568472227,0.038469299941053095,0.022392427179094624
WK039700,Leefbaarometer 3.0,2020,Wijk 00 Heemstede-Centrum,4.296685253248445,0.19442040210476053,0.023058854377893758,0.07038959433744774,0.012608880623487646,0.06077707950749543,0.027585993258435648
WK039701,Leefbaarometer 1.0,2002,Wijk 01 Heemstede-Zuid,4.053541528310573,-0.04872332283311266,NA,NA,NA,NA,NA
WK039701,Leefbaarometer 1.0,2008,Wijk 01 Heemstede-Zuid,4.020694421301349,-0.08157042984233626,NA,NA,NA,NA,NA
WK039701,Leefbaarometer 2.0,2012,Wijk 01 Heemstede-Zuid,4.083472649219651,-0.01879220192403417,NA,NA,NA,NA,NA
WK039701,Leefbaarometer 3.0,2014,Wijk 01 Heemstede-Zuid,4.182208588116837,0.07994373697315199,0.06518750208441366,0.05497956477004819,0.011237368647131141,-0.07235110895692841,0.020890410428487136
WK039701,Leefbaarometer 2.0,2016,Wijk 01 Heemstede-Zuid,4.187702949197574,0.08543809805388874,NA,NA,NA,NA,NA
WK039701,Leefbaarometer 3.0,2018,Wijk 01 Heemstede-Zuid,4.1521666576665375,0.049901806522852116,0.047449496179300846,0.05915175872381303,0.011809855962421414,-0.07730389112862308,0.008794586785939702
WK039701,Leefbaarometer 3.0,2020,Wijk 01 Heemstede-Zuid,4.192726899204324,0.09046204806063794,0.058551345807960564,0.07104534789801435,0.01036561920010873,-0.06080203946651654,0.011301774621070567
WK039702,Leefbaarometer 1.0,2002,Wijk 02 Heemstede west van de spoorbaan,4.255702966492669,0.15343811534898438,NA,NA,NA,NA,NA
WK039702,Leefbaarometer 1.0,2008,Wijk 02 Heemstede west van de spoorbaan,4.314844314261555,0.21257946311787004,NA,NA,NA,NA,NA
WK039702,Leefbaarometer 2.0,2012,Wijk 02 Heemstede west van de spoorbaan,4.281090408372174,0.17882555722848895,NA,NA,NA,NA,NA
WK039702,Leefbaarometer 3.0,2014,Wijk 02 Heemstede west van de spoorbaan,4.270083674284107,0.1678188231404222,0.0550949376074566,0.04692943241162983,0.01401210360783736,0.025468659241840438,0.026313690271657728
WK039702,Leefbaarometer 2.0,2016,Wijk 02 Heemstede west van de spoorbaan,4.331145454048352,0.22888060290466658,NA,NA,NA,NA,NA
WK039702,Leefbaarometer 3.0,2018,Wijk 02 Heemstede west van de spoorbaan,4.2782706434127995,0.17600579226911484,0.046655627417755835,0.06221205792614945,0.01682640225410351,0.021445594678438595,0.028866109992667376
WK039702,Leefbaarometer 3.0,2020,Wijk 02 Heemstede west van de spoorbaan,4.316391115276707,0.21412626413302183,0.05476077824744588,0.07296213867657718,0.013285572334591577,0.03910062407748797,0.034017150796918874
WK039801,Leefbaarometer 1.0,2002,Wijk 01 Schrijverswijk,3.9668512368382998,-0.1354136143053853,NA,NA,NA,NA,NA
WK039801,Leefbaarometer 1.0,2008,Wijk 01 Schrijverswijk,3.993061071503367,-0.10920377964031791,NA,NA,NA,NA,NA
WK039801,Leefbaarometer 2.0,2012,Wijk 01 Schrijverswijk,4.0099497768840715,-0.09231507425961391,NA,NA,NA,NA,NA
WK039801,Leefbaarometer 3.0,2014,Wijk 01 Schrijverswijk,4.054869358173627,-0.0473954929700586,0.019997088366447976,-0.039986012164758264,-0.009094470359930605,-0.0028892434273121836,-0.01542285538450586
WK039801,Leefbaarometer 2.0,2016,Wijk 01 Schrijverswijk,4.08422808763995,-0.018036763503735315,NA,NA,NA,NA,NA
WK039801,Leefbaarometer 3.0,2018,Wijk 01 Schrijverswijk,4.089680847219751,-0.012584003923934401,0.006463594035053157,-0.0030941807842774028,-0.005412539507014245,-0.006037609548347027,-0.004503268119349187
WK039801,Leefbaarometer 3.0,2020,Wijk 01 Schrijverswijk,4.1042181941873945,0.0019533430437091107,0.011470237835189237,-0.0024896855169691152,-0.007365321261630831,0.009301680137538324,-0.008963568150418858
WK039802,Leefbaarometer 1.0,2002,Wijk 02 Schilderswijk,3.971636144670687,-0.13062870647299815,NA,NA,NA,NA,NA
WK039802,Leefbaarometer 1.0,2008,Wijk 02 Schilderswijk,3.9706842649496346,-0.13158058619405075,NA,NA,NA,NA,NA
WK039802,Leefbaarometer 2.0,2012,Wijk 02 Schilderswijk,3.980153133324042,-0.12211171781964299,NA,NA,NA,NA,NA
WK039802,Leefbaarometer 3.0,2014,Wijk 02 Schilderswijk,4.012261799056022,-0.09000305208766349,0.0014185626795849087,-0.009378365239044475,0.0118874822152283,-0.079776104752533,-0.014154626990899494
WK039802,Leefbaarometer 2.0,2016,Wijk 02 Schilderswijk,4.047060906418736,-0.055203944724949466,NA,NA,NA,NA,NA
