bu_code,price_2014,price_2020
BU03638402,2.38725,4.239214285714286
BU03638500,2.46425,4.668
BU03638501,2.7725,5.868
BU03638502,2.7725,5.3345
BU03638600,2.46425,5.4455
BU03638601,2.46425,5.6679
BU03638602,2.156,5.3345
BU03638603,2.3615,5.4455
BU03638604,2.156,5.667833333333334
BU03638605,2.3615,5.0015
BU03638700,2.46425,5.3345
BU03638701,4.210333333333334,7.335
BU03638702,4.005,6.667700000000001
BU03638703,2.46425,5.001166666666667
BU03638801,2.7724999999999995,4.5568333333333335
BU03638803,2.6492,4.3345
BU03638804,2.4026,4.001
BU03638805,2.4026,5.6955
BU03638806,2.156,4.3345
BU03638807,2.567,4.16775
BU03638808,2.8957,4.3345
BU03638809,2.46425,5.4455
BU03638900,2.567,5.612416666666667
BU03638901,2.3615,5.667833333333334
BU03638902,2.46425,4.668
BU03638903,2.46425,4.3345
BU03639000,2.6954375,5.3345
BU03639002,2.9779166666666668,5.8763125
BU03639003,3.183333333333333,6.649444444444445
BU03639008,4.368954545454546,6.4677500000000006
BU03639100,3.08075,5.7346
BU03639101,2.7725,5.445666666666667
BU03639102,3.0463333333333336,5.779
BU03639300,1.9360000000000002,4.112166666666667
BU03639301,2.0020000000000002,3.8898333333333333
BU03639302,1.925,3.2228333333333334
BU03639303,2.2177,3.16725
BU03639304,2.0020000000000002,3.50075
BU03639305,1.848,3.334
BU03639306,1.848,3.334
BU03639308,1.848,3.334
BU03639309,2.0020000000000002,3.4451666666666667
BU03639400,2.0020000000000002,3.6675000000000004
BU03639401,1.9635,3.445166666666667
BU03639402,1.9506666666666668,3.4451666666666667
BU03639403,1.848,3.334
BU03639404,2.0020000000000002,3.16725
BU03639405,1.9800000000000002,3.5341
BU03639406,1.9506666666666668,3.6675
BU03639407,1.9506666666666668,3.4451666666666667
BU03639408,2.0020000000000002,3.6675
BU03639409,2.0533333333333332,3.83425
BU03639410,1.9506666666666668,3.8898333333333337
BU03639411,1.848,3.6675
BU03639412,1.848,3.334
BU03639413,1.9506666666666668,3.4451666666666667
BU03639500,2.0020000000000002,3.2228333333333334
BU03639502,2.156,6.084625
BU03639600,2.0533333333333332,3.83425
BU03639601,2.0020000000000002,3.4451666666666667
BU03639602,2.288214285714286,3.9343000000000004
BU03639603,1.925,3.6675
BU03639604,1.848,3.6675
BU03639605,1.9506666666666668,3.6675000000000004
BU03639606,2.2331250000000002,4.001
BU03639700,2.2331250000000002,3.6675000000000004
BU03639701,2.0020000000000002,3.8898333333333337
BU03639702,2.296136363636364,4.3345
BU03639703,2.1561250000000003,3.83425
BU03639800,2.8958,5.2095625000000005
BU03639801,2.7725,4.3345
